Ticker;Nome;Setor;Preço (R$);Último Dividendo;Taxa de Administração
JCCJ11;JHSF Capital Cidade Jardim - FII;Papéis;158.00;1.77;0.8
JBFO11;JBFO11;Papéis;15.03;7.77;0.2
JASC11;JASC Renda Varejo Essencial FII;Imóveis Comerciais - Outros;92.98;0.69;0.3
IVCI11;Icatu Van CI FII RL;Papéis;96.86;0.82;0
ITRI11;Itau Total Return Fundo Investimento Imobiliario;Shoppings;82.85;1.30;0.9
ITIT11;Inter Teva Indice de Tijolo FI Imobiliario;Fundo de Fundos;69.39;0.61;0.7
ITIP11;Inter Teva Indice de Papel FI Imobiliario;Papéis;65.36;0.67;0.4
ISCJ11;ISCJ11;Papéis;50.71;1.60;0.8
IRIM11;Iridium Fundo de Investimento Imobiliario Closed Fund;Indefinido;68.85;0.84;0.5
IRIF11;Iridium Infra FICFII em Infraestrutura Renda Fixa;Papéis;9.40;0.11;0.5
IRDM11;FII IRIDIUM CI;Papéis;58.31;4.31;0.1
INRD11;Inter Residence Fdo Inv Imob Cf;Fundo de Desenvolvimento;75.47;0.67;0.8
INLG11;Inter Logistica Fundo de Investimento Imobiliario Closed Fund;Imóveis Industriais e Logísticos;76.71;0.76;0.9
INFB11;Drys FICFII em Infra Renda Fixa;Indefinido;98.97;1.00;0.3
INFA11;Fator Infr Fundo Inc Inv Infraestrutura Renda Fixa;Outros;9.82;0.09;0.6
IMOV11;IMOV11;Indefinido;-;0.09;0.9
IFRI11;Itau FICF Inc Inv Fin Infra CDI RF CP - RL;Misto;103.50;1.40;0.4
